SMILES,CID,ROMol,molecular_weight,n_hba,n_hbd,logp,f_avg_pIC50,r_avg_pIC50,Ro5_fulfilled
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,LON-WEI-8f408cad-1,<rdkit.Chem.rdchem.Mol object at 0x1683ec580>,252.066555336,2,1,1.9907,4.152752175378709,4.00436480540245,True
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,LON-WEI-8f408cad-2,<rdkit.Chem.rdchem.Mol object at 0x1683ec510>,338.030347396,3,0,1.0365000000000002,5.4831055306525815,5.58116632979757,True
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,LON-WEI-8f408cad-3,<rdkit.Chem.rdchem.Mol object at 0x1683ec4a0>,308.00561195600005,4,0,0.8197999999999999,5.664784004926004,6.254500617165025,True
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,LON-WEI-8f408cad-4,<rdkit.Chem.rdchem.Mol object at 0x1683ec430>,320.039769208,3,0,0.8973999999999999,5.415243772032498,5.693883761489537,True
O=C(CCl)N1CCN(Cc2cccs2)CC1,LON-WEI-8f408cad-5,<rdkit.Chem.rdchem.Mol object at 0x1683ec3c0>,258.05936178,3,0,1.6311000000000002,5.206408063031317,5.479335259560511,True
O=C(CCl)N1CCN(Cc2ccsc2)CC1,LON-WEI-8f408cad-7,<rdkit.Chem.rdchem.Mol object at 0x1683ec350>,258.05936178,3,0,1.6311000000000002,5.455209590000138,5.944124117760533,True
C=CC(=O)NCC(=O)N(Cc1ccccc1O)C[C@@H]1CCCO1,JUA-UNI-a9dfaed1-1,<rdkit.Chem.rdchem.Mol object at 0x1683ec2e0>,318.157957184,4,2,1.2019999999999993,4.002176919254275,4.00436480540245,True
C=CC(=O)NCc1ccccc1S(=O)(=O)NC(C)(C)C,JUA-UNI-a9dfaed1-2,<rdkit.Chem.rdchem.Mol object at 0x1683ec270>,296.1194635,3,2,1.5655999999999999,4.002176919254275,4.00436480540245,True
C=CC(=O)NCc1ccccc1S(=O)(=O)NC,JUA-UNI-a9dfaed1-3,<rdkit.Chem.rdchem.Mol object at 0x1683ec200>,254.072513308,3,2,0.3969000000000001,4.002176919254275,4.00436480540245,True
C=CC(=O)NCC(=O)N(Cc1ccccc1)C[C@@]1(O)CN2CCC1CC2,JUA-UNI-a9dfaed1-4,<rdkit.Chem.rdchem.Mol object at 0x1683ec190>,357.205241724,4,2,0.7740999999999996,4.002176919254275,4.00436480540245,True
C=CC(=O)NCCC(=O)N(Cc1ccccc1)Cc1nc2ccccc2c(=O)[nH]1,JUA-UNI-a9dfaed1-5,<rdkit.Chem.rdchem.Mol object at 0x1683ec120>,390.16919056399996,4,2,2.144199999999999,4.002176919254275,4.00436480540245,True
C=CC(=O)N[C@H](Cc1ccccc1)C(=O)NCCN(C)C,JUA-UNI-a9dfaed1-6,<rdkit.Chem.rdchem.Mol object at 0x1683ec0b0>,289.179026976,3,2,0.5777000000000005,4.002176919254275,4.00436480540245,True
C=CC(=O)Nc1ccc(O)c(C(=O)NC[C@@H](O)c2ccc3ccccc3c2)c1,JUA-UNI-a9dfaed1-7,<rdkit.Chem.rdchem.Mol object at 0x1683ec040>,376.14230712,4,4,3.133300000000001,4.002176919254275,4.00436480540245,True
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC)c1cccnc1,LON-WEI-adc59df6-3,<rdkit.Chem.rdchem.Mol object at 0x1683bff40>,351.19467704000004,3,1,3.3854000000000015,4.447227748246275,4.770095513701154,True
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCCSC)c1cccnc1,LON-WEI-adc59df6-10,<rdkit.Chem.rdchem.Mol object at 0x1683bfed0>,425.21369823200007,4,1,4.508700000000004,4.594003879410815,4.8636306014234005,True
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCSC)c1cccnc1,LON-WEI-adc59df6-17,<rdkit.Chem.rdchem.Mol object at 0x1683bfe60>,411.19804816800007,4,1,4.118600000000003,4.695467570800558,4.184242839673249,True
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCC)c1cccnc1,LON-WEI-adc59df6-30,<rdkit.Chem.rdchem.Mol object at 0x1683bfd80>,365.21032710400004,3,1,3.7755000000000027,4.342083994664206,4.712398015221228,True
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCc1ccccc1)c1cccnc1,LON-WEI-adc59df6-40,<rdkit.Chem.rdchem.Mol object at 0x1683bfd10>,427.22597716800004,3,1,4.955800000000004,4.477242011898399,4.844213566835672,True
CS(=O)(=O)c1ccc(N2CCNCC2)cc1,AAR-POS-5507155c-1,<rdkit.Chem.rdchem.Mol object at 0x1683bfb50>,240.093248752,4,1,0.49969999999999987,4.002176919254275,4.0768801799058245,True
CCCC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-8,<rdkit.Chem.rdchem.Mol object at 0x1683bfae0>,302.11859090800004,2,1,4.565820000000003,4.761464599883878,5.261269226710546,True
Cc1ccncc1NC(=O)Cc1cccc(Br)c1,JAN-GHE-83b26c96-12,<rdkit.Chem.rdchem.Mol object at 0x1683bfa70>,304.021125136,2,1,3.3337200000000013,4.686260471017583,4.797430603543904,True
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-22,<rdkit.Chem.rdchem.Mol object at 0x1683bfa00>,288.10294084400005,2,1,3.9597200000000026,4.013474797912543,4.610429786938468,True
O=C(Cc1cccc(Cl)c1)Nc1cnccc1C1CC1,ALP-POS-95b75b4d-5,<rdkit.Chem.rdchem.Mol object at 0x1683bf990>,286.08729078000005,2,1,3.7936000000000014,5.144260669135889,5.130887195357168,True
Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,TRY-UNI-2eddb1ff-2,<rdkit.Chem.rdchem.Mol object at 0x1683bf920>,261.066889684,3,1,2.6196200000000003,4.333144747626523,4.00436480540245,True
Cc1ccncc1NC(=O)Cc1cc(C#N)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-6,<rdkit.Chem.rdchem.Mol object at 0x1683bf8b0>,336.12224037199996,5,2,1.6676999999999997,4.936661326792417,5.063957778881955,True
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-7,<rdkit.Chem.rdchem.Mol object at 0x1683bf840>,345.088019052,4,2,2.44942,5.440224672921869,6.0265263372546745,True
Cc1ccncc1NC(=O)C(C)c1cc(Cl)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-8,<rdkit.Chem.rdchem.Mol object at 0x1683bf7d0>,359.103669116,4,2,3.0104200000000008,4.112749410320368,4.055061902891723,True
Cc1nnn(NC(=O)Cc2cccc(Cl)c2)c1C,JAN-GHE-5a013bed-1,<rdkit.Chem.rdchem.Mol object at 0x1683bf760>,264.077788716,4,1,1.8611399999999996,4.848858077681565,4.134562498814556,True
O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc21,JAN-GHE-5a013bed-2,<rdkit.Chem.rdchem.Mol object at 0x1683bf6f0>,285.066889684,3,1,3.0025000000000013,5.080740482421092,5.370060803767451,True
O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc2c1=O,JAN-GHE-5a013bed-3,<rdkit.Chem.rdchem.Mol object at 0x1683bf680>,313.06180430399996,4,1,2.3627000000000002,5.063211684546805,4.00436480540245,True
O=C(Cn1nnc2ccccc21)Nc1cccc(Cl)c1,BEN-DND-61647d40-12,<rdkit.Chem.rdchem.Mol object at 0x1683bf610>,286.062138652,4,1,2.7234000000000007,4.002176919254275,4.531210187738147,True
COc1cnc(C#N)nc1,MAK-UNK-ed378e62-6,<rdkit.Chem.rdchem.Mol object at 0x1683bf5a0>,135.04326178,4,0,0.35687999999999986,4.002176919254275,4.00436480540245,True
O=C(Cc1cccc(Cl)c1)Nc1cccnc1,EDG-MED-0da5ad92-2,<rdkit.Chem.rdchem.Mol object at 0x1683bf530>,246.055990652,2,1,2.916200000000001,4.269885769656957,4.00436480540245,True
Cc1ccncc1NC(=O)N(C)c1cccc(Cl)c1,EDG-MED-0da5ad92-3,<rdkit.Chem.rdchem.Mol object at 0x1683bf4c0>,275.082539748,2,1,3.7117200000000024,4.002176919254275,4.00436480540245,True
Cc1ccncc1NC(=O)C(CO)c1cccc(Cl)c1,EDG-MED-0da5ad92-5,<rdkit.Chem.rdchem.Mol object at 0x1683bf450>,290.0822054,3,2,2.758020000000001,4.002176919254275,4.324966737223271,True
CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C,EDG-MED-0da5ad92-7,<rdkit.Chem.rdchem.Mol object at 0x1683bf3e0>,332.129155592,3,1,4.403520000000003,4.605856568331593,4.804492592739838,True
Cc1ccnnc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-15,<rdkit.Chem.rdchem.Mol object at 0x1683bf370>,261.066889684,3,1,2.619620000000001,4.002176919254275,4.00436480540245,True
Cc1cc(N)ncc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-17,<rdkit.Chem.rdchem.Mol object at 0x1683bf300>,275.082539748,3,2,2.806820000000001,4.002176919254275,4.00436480540245,True
O=C(CCl)N1CCN(Cc2cc(O)cc(Cl)c2)CC1,MAT-POS-2db6411e-2,<rdkit.Chem.rdchem.Mol object at 0x1683bf290>,302.058883112,3,1,1.9286,4.888789622181815,5.804397499038291,True
Cc1ccncc1N1CCC(c2cccc(Cl)c2)C1=O,EDJ-MED-e66f2cc5-1,<rdkit.Chem.rdchem.Mol object at 0x1683bf220>,286.08729078,2,0,3.563920000000002,4.349487009504575,4.889605536803154,True
COc1ccc2c(c1)CN(C(=O)CCl)C(c1ccccc1)C2,NAU-LAT-64f4b287-4,<rdkit.Chem.rdchem.Mol object at 0x1683bf1b0>,315.10260649599996,2,0,3.5600000000000023,5.427232322525127,5.748538819249214,True
Cc1ccncc1NC(=O)Cc1cccc(-c2cn[nH]c2)c1,EDJ-MED-e58735b6-4,<rdkit.Chem.rdchem.Mol object at 0x1683bf140>,292.132411132,3,2,2.9613200000000006,4.274372049653905,4.00436480540245,True
O=C(CCl)N1CCN(S(=O)(=O)C2=CC[SH]=C2)CC1,MAK-UNK-d4768348-1,<rdkit.Chem.rdchem.Mol object at 0x1683bf0d0>,310.02126202000005,3,1,-0.13560000000000016,5.787587761959426,6.314782808408732,True
Cc1ccncc1NC(=O)CCc1cccc(F)c1,BEN-DND-93268d01-6,<rdkit.Chem.rdchem.Mol object at 0x1683bf060>,258.11684132,2,1,3.1004200000000015,4.233185072768176,4.00436480540245,True
CC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1,BEN-DND-93268d01-8,<rdkit.Chem.rdchem.Mol object at 0x1683beff0>,276.15862588,4,1,0.49261999999999984,6.195249005590129,4.00436480540245,True
Cc1ccncc1NC(=O)CN1CCCCC1,BEN-DND-93268d01-11,<rdkit.Chem.rdchem.Mol object at 0x1683bef80>,233.152812228,3,1,1.81442,4.002176919254275,4.00436480540245,True
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(Cc2ccccc2)CC1,BEN-DND-7e92b6ca-10,<rdkit.Chem.rdchem.Mol object at 0x1683bef10>,347.163376912,3,1,2.4861000000000004,5.057428039266636,4.726823942665062,True
COc1ccc(N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)cc1,BEN-DND-7e92b6ca-11,<rdkit.Chem.rdchem.Mol object at 0x1683beea0>,363.158291532,4,1,2.4991000000000003,4.833455313320813,4.019106251547674,True
